['Dead Bars', 'Regulars']
['Frustration', 'So Cold Streams']
['Uranium Club', 'The Cosmos Club - The Higher Calling of Business Provocateurs']
['Jenny Lewis', 'On the Line']
['Nick Cave & the Bad Seeds', 'Ghosteen']
['Drab Majesty', 'Modern Mirror']
['DIÄT', 'Positive Disintegration']
['Snuff', "There's a Lot of it About"]
['Michael Abels', 'Us (Original Motion Picture Soundtrack)']
['Taylor Swift', 'Lover']
['Kevin Morby', 'Oh My God']
['Fontaines DC', 'Dogrel']
['Jessica Pratt', 'Quiet Signs']
['Sharon Van Etten', 'Remind Me Tomorrow']
['Cherry Glazerr', 'Stuffed & Ready']
['Boy Harsher', 'Careful']
['Stella Donnelly', 'Beware of the Dogs']
['The Berries', 'Berryland']
['Lana Del Rey', 'Norman Fucking Rockwell!']
['Thom Yorke', 'Anima']
['Fontaines D.C.', 'Dogrel']
['Lizzo', 'Cuz I Love You']
['Júníus Meyvant', 'Across The Borders']
['Girl In Red', 'Beginnings']
['Sault', '5']
['Great Grandpa', 'Four of Arrows']
['Little Simz', 'Grey Area']
['Rudy Willingham', 'Dunk Reactions']
['Amyl and the Sniffers', 'Amyl and the Sniffers']
['Better Oblivion Community Center', 'Better Oblivion Community Center']
['Vegyn', 'Only Diamonds Cut Diamonds']
['Vampire Weekend', 'Father Of The Bride']
['Anderson .Paak', 'Ventura']
['Ess Ford & Junior The Godfather', '206']
['Brittany Howard', 'Jaime']
['Lil Nas X', '7 EP']
['Ben Zaidi & Budo', 'Abandonism']
['Apparat', 'LP5']
['The Black Tones', 'Cobain and Cornbread']
['Gary Clark Jr.', 'This Land']
['Kim Gordon', 'No Home Record']
['Durand Jones & The Indications', 'American Love Call']
['Preservation Hall Jazz Band', 'A Tuba to Cuba']
['Purple Mountains', 'Purple Mountains']
['Sturgill Simpson', 'Sound & Fury']
['Kate Tempest', 'The Book of Traps and Lessons']
['Faye Webster', 'Atlanta Millionaires Club']
['Black Ends', 'Sellout']
['Brett Benton', 'You Got To Pray']
['Y La Bamba', 'Mujeres']
['Warren Dunes', 'Welcome to Warren Dunes']
['Da Qween', 'Renaissance Bitch']
['Dark Smith', 'Degressive']
['LIV+', 'Black Girl Unbothered']
['TeZATalks', 'Apart to Chaos']
['Thunderpussy', 'Milk It']
['Chris King and the Gutterballs', 'Pain Waves']
['Alborosie', 'Alborosie Meets Roots Radics: Dub For The Radicals']
['Lila Ike', 'Second Chance']
['Tarrus Riley featuring Mykal Rose', 'Guess Who?']
['Inna De Yard / Various Artists', 'Inna De Yard']
['Undefined featuring Rider Shafique', 'Three']
["Eva Lazarus & Mungo's HiFi", 'More Fyah']
['Alpha & Omega', 'Dubplate Selection Vol 1']
['Massive Attack vs Mad Professor', "Massive Attack vs Mad Professor Part II (Mezzanine Remix Tapes '98)"]
['Various Artists', 'Jet Star Meets Hospital']
['City Kay / Various Artists', 'Big Slap Riddim & Black Bird Riddim']
['Koffee', 'Rapture']
['iLe', 'Almadura']
['Claude Fontaine', 'Claude Fontaine']
['Marcus Gad', 'Enter A Space']
['Sampa The Great', 'The Return']
['Various Artists', 'Pacific Breeze: Japanese City Pop, AOR & Boogie 1976-1986']
['Nicola Cruz', 'Siku']
['SAULT', '5']
['Weyes Blood', 'Titanic Rising']
['Jamila Woods', 'Legacy! Legacy!']
['Lee Fields & the Expressions', 'It Rains Love']
['Andrew Bird', 'My Finest Work Yet']
['Mavis Staples', 'We Get By']
['Black Belt Eagle Scout', 'At The Party With My Brown Friends']
['Sault', '5/7']
['Ibibio Sound Machine', 'Doko Mien']
['Angel Olsen', 'All Mirrors']
['Little Simz', 'GREY Area']
